classification,longitude,latitude
A,-122.4145112,37.79785461
A,-122.4146545,37.79783649
A,-122.4422577,37.79431089
A,-122.4428149,37.79423999
A,-122.4213155,37.75907724
A,-122.4212876,37.75878592
A,-122.410059,37.79841536
A,-122.4102514,37.79839216
A,-122.4666133,37.72548391
A,-122.4669547,37.72552501
A,-122.4644955,37.72314415
A,-122.4643686,37.72314949
A,-122.4224604,37.77101544
A,-122.4648766,37.73004981
A,-122.4651409,37.73011066
A,-122.4655234,37.7465102
A,-122.4654515,37.74624304
A,-122.4081139,37.80056918
A,-122.4082302,37.8005552
A,-122.403874,37.80110346
A,-122.4041457,37.80106865
A,-122.4129469,37.7829304
A,-122.4134943,37.78286052
A,-122.3976586,37.71277487
A,-122.3979323,37.71209034
A,-122.3893945,37.7595809
A,-122.3893153,37.75873036
A,-122.4115834,37.78733179
A,-122.4116067,37.78744743
A,-122.410778,37.78894297
A,-122.4113257,37.78887337
A,-122.4066088,37.78771934
A,-122.4066399,37.78787444
A,-122.3944397,37.79424021
A,-122.3941441,37.79400444
A,-122.4082075,37.7829336
A,-122.4326923,37.77500043
A,-122.432755,37.77531133
A,-122.4352184,37.78742661
A,-122.4352497,37.78758198
A,-122.3935706,37.78209043
A,-122.3938256,37.78188898
A,-122.4633364,37.74827011
A,-122.463543,37.74843655
A,-122.4160162,37.76149654
A,-122.4159664,37.76096296
A,-122.4773655,37.72008825
A,-122.4776902,37.72009908
A,-122.4110813,37.77270358
A,-122.4114832,37.77238621
A,-122.4858091,37.78890389
A,-122.4864238,37.78887821
A,-122.4019394,37.79708171
A,-122.401984,37.79729146
A,-122.4660413,37.73898447
A,-122.4659372,37.73873708
A,-122.4632477,37.73938577
A,-122.4634024,37.73865829
A,-122.4704481,37.73276933
A,-122.4704724,37.73233654
A,-122.4640946,37.73971873
A,-122.4641764,37.73952582
A,-122.4643572,37.74651598
A,-122.4645292,37.74665497
A,-122.4617334,37.73974199
A,-122.4622722,37.73930217
A,-122.4696452,37.73132659
A,-122.4697876,37.73079362
A,-122.4651825,37.73620881
A,-122.4650303,37.7361248
A,-122.4672374,37.73638313
A,-122.4671885,37.73563789
A,-122.4668272,37.73490729
A,-122.4665315,37.73492025
A,-122.4062885,37.79335434
A,-122.4064598,37.79333273
A,-122.4380345,37.80554258
A,-122.4377276,37.80590062
A,-122.4474323,37.79052514
A,-122.4414743,37.80462727
A,-122.4417646,37.80458972
