classification,longitude,latitude
B,-122.3865495,37.72206388
B,-122.4148522,37.73557088
B,-122.4707908,37.7820055
B,-122.494215,37.76218166
B,-122.496815,37.77386104
B,-122.4236509,37.72857169
B,-122.4314552,37.79664049
B,-122.4984562,37.76137218
B,-122.4103247,37.71211782
B,-122.3990886,37.75899681
B,-122.3727629,37.7290454
B,-122.4162433,37.74531097
B,-122.4076306,37.73389907
B,-122.4403531,37.70847038
B,-122.4840808,37.73469803
B,-122.4431136,37.7598372
B,-122.4362966,37.7732711
B,-122.464157,37.73215656
B,-122.4944613,37.74159867
B,-122.5076192,37.75410998
B,-122.4264246,37.72421665
B,-122.4690881,37.75474533
B,-122.4560566,37.7146249
B,-122.3962012,37.78867452
B,-122.4756439,37.73270405
B,-122.4357195,37.76411819
B,-122.4599368,37.72492767
B,-122.395043,37.71997252
B,-122.4576143,37.74610167
B,-122.4046565,37.73022059
B,-122.4477792,37.7477118
B,-122.4209808,37.79208368
B,-122.4505138,37.76129071
B,-122.4083252,37.70975567
B,-122.4422226,37.78846854
B,-122.4716505,37.75789958
B,-122.4917072,37.73199383
B,-122.4318866,37.7594641
B,-122.4346303,37.73103064
B,-122.4643456,37.71026912
B,-122.4734785,37.75249962
B,-122.4038777,37.74981009
B,-122.4918003,37.74296109
B,-122.4302332,37.79615966
B,-122.4698345,37.75826866
B,-122.4453973,37.71495275
B,-122.4326777,37.75995289
B,-122.4018995,37.72355366
B,-122.5062498,37.74980478
B,-122.4972808,37.74458961
B,-122.4628417,37.74255845
B,-122.385221,37.72981128
B,-122.4081469,37.80247543
B,-122.431078,37.72886297
B,-122.4798479,37.75658203
B,-122.4350058,37.7243896
B,-122.5023945,37.75620337
B,-122.4515197,37.75806571
B,-122.4499872,37.7362569
B,-122.4515589,37.72986637
B,-122.4292435,37.79404352
B,-122.4256957,37.72510651
B,-122.4536083,37.7298318
B,-122.4273169,37.75062565
B,-122.4503865,37.73305795
B,-122.4634949,37.71490841
B,-122.4511042,37.74962587
B,-122.4591269,37.72664453
B,-122.4431464,37.72909513
B,-122.4779975,37.74543933
B,-122.4473391,37.70917778
B,-122.438401,37.78927567
B,-122.4608529,37.73016274
B,-122.4704214,37.71166671
B,-122.4961244,37.74339417
B,-122.4701364,37.74204248
B,-122.44372,37.78475296
B,-122.459226,37.76528453
B,-122.4849749,37.73460878
B,-122.4124412,37.79993945
B,-122.4262801,37.72061473
B,-122.3976896,37.73342978
B,-122.4263826,37.79380687
B,-122.4477457,37.71683464
B,-122.5006955,37.77806965
B,-122.4125219,37.73017097
B,-122.434662,37.7225052
B,-122.4102647,37.74135322
B,-122.4661816,37.71382896
B,-122.4432348,37.75616483
B,-122.4192372,37.74657374
B,-122.4243162,37.78912987
B,-122.4503526,37.70958512
B,-122.4175164,37.74413737
B,-122.4479248,37.78098574
B,-122.4665945,37.78346757
B,-122.4044084,37.7243134
B,-122.5019615,37.7499941
B,-122.4724644,37.75480504
B,-122.4811792,37.76026191
B,-122.4951176,37.77518718
B,-122.4588338,37.71822649
B,-122.432896,37.7118718
B,-122.4459346,37.71062686
B,-122.4684295,37.71201456
B,-122.4728874,37.7324256
B,-122.4522887,37.7177804
B,-122.4084443,37.73217944
B,-122.4716144,37.71728719
B,-122.3984228,37.73919458
B,-122.4503632,37.72987168
B,-122.4224366,37.80256755
B,-122.387161,37.72870655
B,-122.4381722,37.73738092
B,-122.4917117,37.74171606
B,-122.436764,37.72068568
B,-122.4521097,37.72157048
B,-122.4426612,37.71816838
B,-122.4488343,37.72859504
B,-122.4931517,37.78350927
B,-122.4239904,37.80141177
B,-122.4097,37.73738536
B,-122.4903877,37.78410965
B,-122.399805,37.73354965
B,-122.4114963,37.71391656
B,-122.4935726,37.74786844
B,-122.4887876,37.7818376
B,-122.4505042,37.73895166
B,-122.4232367,37.75194759
B,-122.4625813,37.71411844
B,-122.46534,37.70950328
B,-122.4393147,37.796597
B,-122.4270394,37.785918
B,-122.5014012,37.76248644
B,-122.4758696,37.76112058
B,-122.3945311,37.73306592
