classification,longitude,latitude
A,-122.4145088,37.7978536
A,-122.4146507,37.79783565
A,-122.4323562,37.79557023
A,-122.4328978,37.79550128
A,-122.4422511,37.79431045
A,-122.4428027,37.79424025
A,-122.4274634,37.7444482
A,-122.4219254,37.7654507
A,-122.4218997,37.76518558
A,-122.4213146,37.75907911
A,-122.421287,37.75879071
A,-122.3986369,37.79985263
A,-122.3987514,37.7998385
A,-122.4036467,37.79921733
A,-122.4036617,37.79921545
A,-122.4100561,37.79841438
A,-122.4102466,37.79839142
A,-122.4666085,37.72548244
A,-122.4669465,37.72552313
A,-122.4644954,37.72314302
A,-122.4643698,37.7231483
A,-122.4224598,37.77102012
A,-122.4648728,37.73004796
A,-122.4651343,37.73010855
A,-122.4717446,37.72579192
A,-122.4717998,37.72478058
A,-122.4655229,37.74651192
A,-122.4654514,37.7462475
A,-122.4081118,37.80056811
A,-122.4082269,37.80055427
A,-122.4038704,37.80110259
A,-122.4041393,37.80106812
A,-122.4008662,37.71169255
A,-122.4009563,37.71137372
A,-122.4129404,37.78292996
A,-122.4134823,37.78286078
A,-122.4025826,37.79029734
A,-122.3976521,37.71277951
A,-122.3979259,37.71210295
A,-122.3899957,37.78101316
A,-122.390251,37.78081055
B,-122.3913793,37.79291708
B,-122.391903,37.79336426
B,-122.399931,37.80198243
B,-122.4008898,37.80304619
B,-122.3893942,37.7595883
B,-122.3893158,37.75874627
B,-122.4120885,37.78986186
B,-122.4121144,37.78998876
B,-122.4139496,37.79904067
B,-122.4139815,37.79919873
B,-122.467842,37.74339822
B,-122.4679494,37.74338876
B,-122.4105673,37.78235727
B,-122.4106324,37.78261772
B,-122.4115821,37.78732947
B,-122.4116052,37.78744396
B,-122.3936503,37.78252625
B,-122.3940165,37.78223611
B,-122.4107715,37.78894249
B,-122.4113138,37.78887359
B,-122.4066075,37.78771662
B,-122.4066382,37.78787016
B,-122.4073744,37.79160769
B,-122.4074391,37.79192219
B,-122.3944417,37.79424136
B,-122.3941491,37.79400795
B,-122.4126747,37.78537363
B,-122.4124813,37.78539837
B,-122.4081991,37.78293836
B,-122.4089285,37.78235275
B,-122.4317348,37.77018373
B,-122.4317658,37.77033754
B,-122.4326906,37.77499624
B,-122.4327526,37.77530403
B,-122.435217,37.78742392
B,-122.435248,37.78757774
B,-122.4363075,37.79283458
B,-122.4534627,37.76885695
B,-122.4534018,37.76855361
B,-122.4521748,37.7626146
B,-122.4521298,37.76239158
B,-122.4162002,37.75183928
B,-122.3935399,37.79212761
B,-122.3930333,37.79172295
B,-122.3935671,37.78209128
B,-122.3938195,37.78189184
B,-122.463333,37.74826752
B,-122.4635376,37.7484323
C,-122.4160155,37.76150081
C,-122.4159663,37.76097257
C,-122.4773609,37.72008705
C,-122.4776824,37.72009777
C,-122.4110762,37.77270564
C,-122.4114741,37.77239145
C,-122.4417906,37.8032307
C,-122.4418406,37.80348104
C,-122.4858018,37.78890308
C,-122.4864103,37.78887766
C,-122.4367455,37.7783088
C,-122.4368075,37.77861615
C,-122.4404707,37.79676411
C,-122.4405328,37.79707171
C,-122.4416744,37.80266224
C,-122.4417071,37.80281893
C,-122.401938,37.79707841
C,-122.4019822,37.79728606
C,-122.4034088,37.80440829
C,-122.4034821,37.80479139
C,-122.466041,37.73898597
C,-122.4659379,37.73874105
C,-122.4632426,37.73939157
C,-122.4634015,37.73867213
C,-122.4704466,37.73277265
C,-122.4704706,37.73234418
C,-122.430965,37.76536987
C,-122.4299744,37.75502656
C,-122.4011456,37.79321504
C,-122.401178,37.79337474
C,-122.4640925,37.73971968
C,-122.4641735,37.7395287
C,-122.4643541,37.74651365
C,-122.4645244,37.74665126
